app_id,name,priority,repo_url,prompt_path,status
chat,DClaw Chat,0,https://github.com/dclawstack/dclaw-chat,prompts/chat-v1.0-prompt.md,P0 Active
flow,DClaw Flow,1,https://github.com/dclawstack/dclaw-flow,prompts/flow-v1.0-prompt.md,P1 Queued
agent,DClaw Agent,1,https://github.com/dclawstack/dclaw-agent,prompts/agent-v1.0-prompt.md,P1 Queued
rag,DClaw RAG,1,https://github.com/dclawstack/dclaw-rag,prompts/rag-v1.0-prompt.md,P1 Queued
med,DClaw Med,2,https://github.com/dclawstack/dclaw-med,prompts/med-v1.0-prompt.md,P2 Queued
learn,DClaw Learn,2,https://github.com/dclawstack/dclaw-learn,prompts/learn-v1.0-prompt.md,P2 Queued
code,DClaw Code,2,https://github.com/dclawstack/dclaw-code,prompts/code-v1.0-prompt.md,P2 Queued
seo,DClaw SEO,3,https://github.com/dclawstack/dclaw-seo,prompts/seo-v1.0-prompt.md,P3 Queued
create,DClaw Create,3,https://github.com/dclawstack/dclaw-create,prompts/create-v1.0-prompt.md,P3 Queued
legal,DClaw Legal,4,https://github.com/dclawstack/dclaw-legal,prompts/legal-v1.0-prompt.md,P4 Planned
finance,DClaw Finance,4,https://github.com/dclawstack/dclaw-finance,prompts/finance-v1.0-prompt.md,P4 Planned
sales,DClaw Sales,4,https://github.com/dclawstack/dclaw-sales,prompts/sales-v1.0-prompt.md,P4 Planned
support,DClaw Support,4,https://github.com/dclawstack/dclaw-support,prompts/support-v1.0-prompt.md,P4 Planned
hr,DClaw HR,4,https://github.com/dclawstack/dclaw-hr,prompts/hr-v1.0-prompt.md,P4 Planned
design,DClaw Design,4,https://github.com/dclawstack/dclaw-design,prompts/design-v1.0-prompt.md,P4 Planned
translate,DClaw Translate,4,https://github.com/dclawstack/dclaw-translate,prompts/translate-v1.0-prompt.md,P4 Planned
write,DClaw Write,4,https://github.com/dclawstack/dclaw-write,prompts/write-v1.0-prompt.md,P4 Planned
meet,DClaw Meet,4,https://github.com/dclawstack/dclaw-meet,prompts/meet-v1.0-prompt.md,P4 Planned
doc,DClaw Doc,4,https://github.com/dclawstack/dclaw-doc,prompts/doc-v1.0-prompt.md,P4 Planned
sheet,DClaw Sheet,4,https://github.com/dclawstack/dclaw-sheet,prompts/sheet-v1.0-prompt.md,P4 Planned
slide,DClaw Slide,4,https://github.com/dclawstack/dclaw-slide,prompts/slide-v1.0-prompt.md,P4 Planned
email,DClaw Mail,4,https://github.com/dclawstack/dclaw-email,prompts/email-v1.0-prompt.md,P4 Planned
calendar,DClaw Calendar,4,https://github.com/dclawstack/dclaw-calendar,prompts/calendar-v1.0-prompt.md,P4 Planned
task,DClaw Task,4,https://github.com/dclawstack/dclaw-task,prompts/task-v1.0-prompt.md,P4 Planned
wiki,DClaw Wiki,4,https://github.com/dclawstack/dclaw-wiki,prompts/wiki-v1.0-prompt.md,P4 Planned
data,DClaw Data,4,https://github.com/dclawstack/dclaw-data,prompts/data-v1.0-prompt.md,P4 Planned
api,DClaw API,4,https://github.com/dclawstack/dclaw-api,prompts/api-v1.0-prompt.md,P4 Planned
test,DClaw Test,4,https://github.com/dclawstack/dclaw-test,prompts/test-v1.0-prompt.md,P4 Planned
deploy,DClaw Deploy,4,https://github.com/dclawstack/dclaw-deploy,prompts/deploy-v1.0-prompt.md,P4 Planned
monitor,DClaw Monitor,4,https://github.com/dclawstack/dclaw-monitor,prompts/monitor-v1.0-prompt.md,P4 Planned
secure,DClaw Secure,4,https://github.com/dclawstack/dclaw-secure,prompts/secure-v1.0-prompt.md,P4 Planned
backup,DClaw Backup,4,https://github.com/dclawstack/dclaw-backup,prompts/backup-v1.0-prompt.md,P4 Planned
migrate,DClaw Migrate,4,https://github.com/dclawstack/dclaw-migrate,prompts/migrate-v1.0-prompt.md,P4 Planned
cost,DClaw Cost,4,https://github.com/dclawstack/dclaw-cost,prompts/cost-v1.0-prompt.md,P4 Planned
carbon,DClaw Carbon,4,https://github.com/dclawstack/dclaw-carbon,prompts/carbon-v1.0-prompt.md,P4 Planned
compliance,DClaw Compliance,4,https://github.com/dclawstack/dclaw-compliance,prompts/compliance-v1.0-prompt.md,P4 Planned
audit,DClaw Audit,4,https://github.com/dclawstack/dclaw-audit,prompts/audit-v1.0-prompt.md,P4 Planned
policy,DClaw Policy,4,https://github.com/dclawstack/dclaw-policy,prompts/policy-v1.0-prompt.md,P4 Planned
train,DClaw Train,4,https://github.com/dclawstack/dclaw-train,prompts/train-v1.0-prompt.md,P4 Planned
recruit,DClaw Recruit,4,https://github.com/dclawstack/dclaw-recruit,prompts/recruit-v1.0-prompt.md,P4 Planned
onboard,DClaw Onboard,4,https://github.com/dclawstack/dclaw-onboard,prompts/onboard-v1.0-prompt.md,P4 Planned
offboard,DClaw Offboard,4,https://github.com/dclawstack/dclaw-offboard,prompts/offboard-v1.0-prompt.md,P4 Planned
assets,DClaw Assets,4,https://github.com/dclawstack/dclaw-assets,prompts/assets-v1.0-prompt.md,P4 Planned
network,DClaw Network,4,https://github.com/dclawstack/dclaw-network,prompts/network-v1.0-prompt.md,P4 Planned
inventory,DClaw Inventory,4,https://github.com/dclawstack/dclaw-inventory,prompts/inventory-v1.0-prompt.md,P4 Planned
forecast,DClaw Forecast,4,https://github.com/dclawstack/dclaw-forecast,prompts/forecast-v1.0-prompt.md,P4 Planned
quality,DClaw Quality,4,https://github.com/dclawstack/dclaw-quality,prompts/quality-v1.0-prompt.md,P4 Planned
maintenance,DClaw Maintenance,4,https://github.com/dclawstack/dclaw-maintenance,prompts/maintenance-v1.0-prompt.md,P4 Planned
route,DClaw Route,4,https://github.com/dclawstack/dclaw-route,prompts/route-v1.0-prompt.md,P4 Planned
warehouse,DClaw Warehouse,4,https://github.com/dclawstack/dclaw-warehouse,prompts/warehouse-v1.0-prompt.md,P4 Planned
fleet,DClaw Fleet,4,https://github.com/dclawstack/dclaw-fleet,prompts/fleet-v1.0-prompt.md,P4 Planned
energy,DClaw Energy,4,https://github.com/dclawstack/dclaw-energy,prompts/energy-v1.0-prompt.md,P4 Planned
water,DClaw Water,4,https://github.com/dclawstack/dclaw-water,prompts/water-v1.0-prompt.md,P4 Planned
waste,DClaw Waste,4,https://github.com/dclawstack/dclaw-waste,prompts/waste-v1.0-prompt.md,P4 Planned
building,DClaw Building,4,https://github.com/dclawstack/dclaw-building,prompts/building-v1.0-prompt.md,P4 Planned
space,DClaw Space,4,https://github.com/dclawstack/dclaw-space,prompts/space-v1.0-prompt.md,P4 Planned
lease,DClaw Lease,4,https://github.com/dclawstack/dclaw-lease,prompts/lease-v1.0-prompt.md,P4 Planned
vendor,DClaw Vendor,4,https://github.com/dclawstack/dclaw-vendor,prompts/vendor-v1.0-prompt.md,P4 Planned
contract,DClaw Contract,4,https://github.com/dclawstack/dclaw-contract,prompts/contract-v1.0-prompt.md,P4 Planned
risk,DClaw Risk,4,https://github.com/dclawstack/dclaw-risk,prompts/risk-v1.0-prompt.md,P4 Planned
crisis,DClaw Crisis,4,https://github.com/dclawstack/dclaw-crisis,prompts/crisis-v1.0-prompt.md,P4 Planned
continuity,DClaw Continuity,4,https://github.com/dclawstack/dclaw-continuity,prompts/continuity-v1.0-prompt.md,P4 Planned
knowledge,DClaw Knowledge,4,https://github.com/dclawstack/dclaw-knowledge,prompts/knowledge-v1.0-prompt.md,P4 Planned
research,DClaw Research,4,https://github.com/dclawstack/dclaw-research,prompts/research-v1.0-prompt.md,P4 Planned
patent,DClaw Patent,4,https://github.com/dclawstack/dclaw-patent,prompts/patent-v1.0-prompt.md,P4 Planned
trademark,DClaw Trademark,4,https://github.com/dclawstack/dclaw-trademark,prompts/trademark-v1.0-prompt.md,P4 Planned
video,DClaw Video,4,https://github.com/dclawstack/dclaw-video,prompts/video-v1.0-prompt.md,P4 Planned
